[-1,0]
[0,1]
[0,1]
[1,2]
[0,2]
[0,1]
[3,5]
[3,4]
[-1653765433,-1139700704]
[-1895772685,-967931676]
[160988123,1063150409]
[110721554,640411520]
[959128864,1403943960]
[-145417756,744132272]
[-1956029344,-1082128933]
[-395525204,395530305]
[-1129392474,1535788504]
[151765869,602232313]
[-1722143339,1660957712]
[1033398425,1727624697]
[-1637167433,-222279229]
[-1867405660,940520782]
[1012726308,1621947087]
[-892596645,725761242]
[305272990,1119109788]
[-1746725065,-55328547]
[-1277236424,1300838125]
[-1751818600,518561556]
[-1932829203,-1546627880]
[-253415037,1320283273]
